date_sampled,address,1st_draw,2nd_draw,3rd_draw,4th_draw,5th_draw,6th_draw,7th_draw,8th_draw,9th_draw,10th_draw,year,month,1st_5th_highest,highest_sample
2017-03-24,16XX W 100th Pl,7.5,6.89,7.31,10.2,12.2,14.4,15.9,13.9,13.0,11.6,2017,3,12.2,15.9
2017-03-24,21XX W 110th St,4.18,5.5,9.07,11.5,11.1,10.7,10.3,10.3,9.06,7.22,2017,3,11.1,11.5
2017-03-25,18XX N Dayton St,7.18,8.45,15.1,17.3,18.2,17.7,16.9,17.7,17.9,16.4,2017,3,18.2,18.2
2017-03-25,21XX N Hudson Ave,7.95,6.55,16.5,5.51,5.24,5.04,5.06,4.96,4.96,5.02,2017,3,7.95,16.5
2017-03-29,78XX S Eggleston Ave,14.1,17.1,15.1,14.0,12.4,10.7,10.3,8.95,7.23,6.49,2017,3,14.1,17.1
2017-03-30,13XX E 87th St,7.82,9.18,11.5,12.7,11.3,12.0,15.6,25.6,31.1,28.0,2017,3,11.3,31.1
2017-03-30,54XX S Ingleside Ave,11.9,13.1,16.8,17.0,14.8,11.7,11.0,12.7,11.5,6.67,2017,3,14.8,17.0
2017-04-05,55XX N Linder Ave,8.72,14.7,10.3,16.8,35.7,25.3,15.6,18.8,23.3,14.7,2017,4,35.7,35.7
2017-04-08,20XX W 21st St,5.36,6.69,6.59,6.57,7.36,17.1,17.0,15.9,14.0,13.6,2017,4,7.36,17.1
2017-04-08,54XX S Harper Ave**,26.8,20.4,19.0,17.2,15.6,13.6,11.0,9.74,9.17,8.27,2017,4,26.8,26.8
2017-04-13,79XX S Kenwood Ave**,2.36,4.16,4.27,2.3,2.22,4.99,6.49,6.31,8.34,8.77,2017,4,2.36,8.77
2017-04-17,88XX S Paxton Ave,3.04,3.16,3.57,3.94,3.58,4.07,8.64,14.9,14.0,12.2,2017,4,3.58,14.9
2017-04-20,27XX N Wilton Ave**,15.7,24.7,29.5,36.3,38.0,41.0,39.7,39.8,32.3,26.4,2017,4,38.0,41.0
2017-04-20,65XX N Hiawatha Ave,4.35,5.8,5.29,5.52,4.92,5.17,4.36,4.19,3.97,3.75,2017,4,4.92,5.8
2017-04-22,19XX N Dayton St,4.06,3.85,6.88,11.9,11.1,11.3,11.6,12.2,12.3,12.0,2017,4,11.1,12.3
2017-04-24,18XX N Dayton St*****,5.58,4.69,4.58,4.62,4.71,4.4,5.77,5.73,6.3,10.9,2017,4,5.58,10.9
